УП КораллСтрой;1985;2901001686
 Сбер. Начало карьеры;1941;7862298433
ООО Омега;1950;3313554754
ООО Lerteco;1960;3234859941
 РЕН-сервис;1938;4743467655
ОАО Пивоваренная компания Аливария,часть Carlsberg Group;1988;3199539460
ЗАО E-dostavka.by;1949;1155780733
 Компания Кухонный завод;1981;9039444785
 ИНКОМ-НЕДВИЖИМОСТЬ;1959;5512650900
Нек. орг. Португальский культурный центр;1937;7114270590
 Алекс;1954;1930542848
 ЦУМ, Офис;1964;4134993903
 Зенит-Интер, МАНФС;1939;6462175627
ИП Бражуненко Алексей Владимирович;1965;6076531726
 Codika;1969;5955692041
ООО Kyocera Document Solutions Rus;1930;3090541781
ТОО САЛОН КРАСОТЫ AMELI;1971;5296357199
ООО Балтийская Транспортная Линия - Сервис;1956;2605699916
ООО Опт-Сити;1982;2448834999
 Завод Тойота в Санкт-Петербурге;1951;761132902
ООО Азон;1978;8677448636
АО Ачинский НПЗ;1986;3395951678
 Пятёрочка. Склад, логистика;1989;4715507435
ООО MIKA TRADE;1939;2734343377
 Wylsacom Media;1965;7123141194
 Алекс Ко;1966;9603634449
ООО С-Ворк;1962;4207760408
 Директ-Сервис;1957;7657313249
ООО Промкомплект синтез;1967;1168377447
ООО Скай Медиа;1976;2602964707
 Мир открыток;1964;3086229090
ООО Майнкрафт Технолоджи;1987;5595549024
ООО Фритаймторг;1986;1025260157
 AFISHA ENTERTAINMENT GROUP;1988;8678102491
ТОО JTS (ДжейТиЭс);1972;8271790629
 LuxApartments;1975;7355109905
 Фреш+;1946;8933222626
ИП Толстыкин Павел Николаевич;1970;9878136428
ТОО Галерея;1954;5127459967
ИП Зейналов;1953;3376695531
ООО Клиника Идеал;1945;704365515
ТОО Abay Academy;1954;4062192345
 Авиационный Чартерный Сервис;1984;8433721040
ТОО ProMebel, ТМ (ТОО IDIA Market);1930;5746929834
УП ВСЕБАЙ;1952;2619756492
 Element Qurilish;1983;8289277097
 Пятёрочка. Магазины;1957;1760767952
 Комус;1978;6634144962
 Metabo;1935;4781783557
 «Автомобильный дом «Энергия ГмбХ»;1944;7066615591
 Магазин для Питомников;1964;633791206
ООО Сима-ленд;1952;5001488966
ООО Энергощит;1947;6359637804
ООО ЛТР;1958;2078041866
ООО Ситистом;1982;8786992850
 Линдстрём, ИООО;1956;4085019752
ООО Сибирь ИмпЭкс;1955;2949013627
 Qulix Systems;1980;8757161028
ООО Управляемая энергия;1958;6427211551
 DPD в России;1984;379228165
ООО Premium trade group;1955;1164381015
ТОО Компания ?нім;1940;1653523474
ООО ATTRANERGY TRADING;1975;3719688288
ИП Гришин Станислав Александрович;1980;2060630375
 Wargaming, Minsk (Game Stream);1988;8787911438
ООО АРД;1944;5695101366
ООО FuryLion.SPB;1965;8781015174
 ВкусВилл. Склад ;1975;2257235619
 ТУТ и ТАМ Логистикс;1984;3917235090
Совместн. п. Тсин Эст Трейд;1954;4380675213
 Магазины;1954;3130086072
 Кадровое агентство Страж;1949;5451795877
 Технопарк;1969;7981448109
 Контакт Сервис;1975;4344109534
 Семья;1942;3967144876
 Docdelivery;1937;6389471772
 MISSHA;1989;3026113141
 БелЭко;1951;572169707
 АгроДом;1937;4269950160
 Wecheap;1964;2929064259
 WAZZUP;1961;8601161793
ИП Сафин Марат Рафикович;1976;1625492036
ООО Медицинский центр Юнити;1959;1558758171
ООО Инструменты ГРАФФ;1953;6180324323
ООО СпецМонтаж;1949;8104143591
 Helvetia;1969;6333238333
 КА Натальи Зотовой;1961;1483650925
ООО ПромДомСтрой;1948;7760815277
 Курьерская служба GRASTIN;1958;2759482810
ООО DPD Eurasia;1977;6622657698
 Rendez-Vous;1972;3199892934
ООО ТК Микскар;1964;8417160842
ООО ЧОО БИЗНЕС СЕКЬЮРИТИ;1975;6137575373
ОАО Керамин;1958;9307593179
 Люкс Инглиш;1982;658942181
ООО НПК Специальная Металлургия-Москва;1975;1840834478
ООО РойсКорп;1966;6730214200
 FinHelp;1953;4656957394
ООО Фрилайн-Саратов;1990;9715909480
 ЭксИм Пасифик;1958;1399410857
ЗАО Партнер Кей Джи;1936;4940302542
 Мастер Вин;1950;239821647
ИП;1965;2395870593
 ЭлитПартнер;1941;2642196994
 ГродноАгроинвест;1936;8986476835
ООО Подарок бай;1948;5130297465
 CREDIX;1945;7346941060
ООО БухОбслуживание;1951;9917679294
ООО В2B;1953;8996404577
ООО MiaSofia;1952;52939654
 EPAM;1931;3854439388
 буше;1967;4236752030
 Унитарное предприятие «Кока-Кола Бевриджиз Белоруссия».;1985;1190258801
ООО Дом Каминов;1932;6430671630
ЗАО Волок;1977;8998813523
ТОО Brainest Digital Agency;1958;1300119347
Нек. орг. Международный Совет по танцу CID с/o UNESCO. Официальное представительство г. Москва;1983;7489557097
ТОО STEPLine;1986;1243002223
ТОО e-shop;1966;5638215838
ООО Модуль;1980;3358397121
ТОО Регионбет;1933;330397562
 Торговая сеть «СПОРТМАСТЕР» (Беларусь);1964;465514684
ООО ПИК-Аренда;1966;7132275033
 LeverX International;1975;7254583782
ООО ТК Альянс;1951;3436435995
 Pepsico Беларусь;1979;661032299
  Альфа-Банк;1955;7139097737
АО Модный Континент;1963;7598280709
ООО РемакКлининг;1944;5004665308
ООО ЦЕНТР;1974;7331267755
ООО MaxinAI;1983;7345498648
ООО Гарант Недвижимость;1955;4729829205
 Караван;1932;4122576345
ООО Марк Формэль;1990;9900986980
 Эра Людей;1968;8343757052
 YouDo;1934;1716265937
 Lamoda;1958;6505824643
ООО Интес;1931;4449181084
ООО Арт Мастерская;1968;4592909663
АО Citibank;1970;3721548075
ПАО Совкомбанк;1939;1171348593
 НОНТОН.РФ;1975;2812442145
ООО Купи Фуд;1971;5077222212
 Ворлд Класс Фитнес;1958;4113422362
 Мелодия здоровья;1986;5825660728
 MANGO OFFICE;1935;5394021762
ООО ГазТеплоТорг;1939;2413251612
ООО АльтИнвест;1945;4461560167
 ФАРМПЕРСПЕКТИВА;1964;1618515018
 ВкусВилл. Магазины;1950;1025444234
 Группа компаний INCO;1952;882920069
ТОО АдиАн Ритэйл;1955;173130679
ТОО Сика Казахстан;1960;4446320837
 BNS Group;1938;8349413201
ТОО Ersport.kz;1930;9654368565
 ECCO;1971;5677264130
 Белвест;1987;4377199633
ООО Курьерская служба Метеор;1957;1459458087
УП ЗАЛ-ТОВ;1940;6681231740
ООО Ярд Империал;1987;7417359918
 BORK;1986;5343222397
ООО Вкусные подарки;1938;4094513552
 ЦУМ, Интернет-магазин;1964;1925074063
 City Express;1983;2155302477
 АйСиЭм;1986;7253648463
ИП Марченко Михаил Александрович;1949;1251375311
АО Банк ДОМ.РФ;1936;2451712066
ООО Глобал+М;1970;8609197685
ООО Стилмастер;1973;6881132929
 Coffee Like (ИП Салахов Руслан Аликович);1978;1199780169
ООО КиМа флекс;1977;7123209289
 Точка;1939;2218050857
 А1. Закупки, продажи, логистика;1937;2115514955
ООО Нова Систем;1948;1260980412
ТОО ПК Деметра;1978;3620086487
ООО СМАРТКонсалтинг;1975;6129973110
 SOKOLOV;1983;6510590719
 Тинькофф;1936;150449600
ООО Safia кондитерский дом;1969;7194608608
ТОО Технологии и развитие;1949;6267008120
 1-й оперативный полк полиции ГУ МВД России по г. Москве (3 батальон 2 рота);1941;4037326936
ООО ОА Цитадель;1955;6146990348
ТОО Vector 7;1944;796724610
ООО БьютиМедСервис;1959;5557767427
 НРГ;1963;5985914734
 ЛАБИРИНТ;1960;1101286050
ИП Смирнова Елена Александровна;1968;8984981446
ТОО Askona Life Kazakhstan (Аскона Лайф Казахстан);1981;574441830
 Юрова Светлана;1931;7936141377
Крупный e-commerce проект;1937;6381756242
 Гейзер;1967;4801510065
ООО Амасейлс;1978;9204063522
 Балет с 2 лет;1941;7483077622
 Ахунов Дамир Айратович;1939;4931800307
 U.S. Embassy in Kyiv, Ukraine;1952;5192868374
ООО ШЕРЕМЕТЬЕВО ХЭНДЛИНГ;1965;7783424695
 ГК Правовое решение;1937;1765980319
ООО Доминоспицца;1934;7458618162
ООО Мосплодторг;1980;8343280332
ООО ИЧ и Партнерс Руссия;1972;645541024
 DOMIKUS;1964;2500251654
 APS;1940;1247086395
ООО ЭкоПромМет Плюс;1946;649491141
 ZAVOD Games;1950;2849628372
 Далли-сервис;1964;6391683278
 Беллакт-Столица;1965;3334803784
 ortnec.com;1983;5611032822
 Эмиграционный Центр Garant.in;1954;6725397509
 Рекордсмен;1973;1269171720
 EY;1976;7249322785
ООО Завод лестниц на металлическом каркасе;1946;1649899307
ООО НотаГолд;1945;9773183921
ООО Парадиз;1973;113247382
ТОО Frontier KZ;1962;8792089151
ООО МЕДИКАЛ НОУТ;1964;4767834321
 Delta M;1989;1443659454
ООО Автоградиент;1963;5081417731
 КАНТАТА;1931;4680091658
 Яндекс;1953;9474846302
ООО Рултек;1946;1521136318
 Этажи;1967;9346484270
ООО Упак;1982;6397154064
ООО Транссвязь;1979;1595233615
 Нестарица;1958;8502517883
ОАО Белгазпромбанк;1966;3046638417
ТОО Арт Град;1967;2858140246
ООО ГлобалСлавСтрой;1987;1109114518
ТОО КАЗАХЮВЕЛИР-ЛОМБАРД-АЛМАТЫ;1931;2921784281
ТОО Л5;1962;1334227476
ООО Соткон;1934;6615484803
 Inventive Retail Group, LEGO;1948;394951801
ООО Талифа Груп;1968;4729455022
 Эстекс Бел, ЧП;1947;1613787057
 G M A COMPANY;1974;2522839768
ООО Альфа;1973;4520324523
 Аптечная сеть Максавит и 36,7;1960;6632341378
ООО grc.ua;1955;3157139189
ООО Golden House;1935;9400002178
ООО Электротехническая компания Светлый город;1936;771759087
ООО Окна Старс;1941;504046017
ООО Ланикс М;1934;9087475282
 СКБ Контур;1946;2194909515
ООО СДЭК-ЮВАО;1946;9601704666
 TheSoul Publishing (AdMe);1930;7305071055
ООО Дженерал Сервис;1946;1475409554
 Самокат (ООО Умный ритейл);1983;1011129512
ООО РЭД КРАУН;1934;2434321770
ООО Пас;1973;9519371107
УП Моторлэнд;1956;8306515706
ИП Лазаренко Г.В.;1938;9345997796
ИП Левина Галина Алексеевна;1944;1565343397
 BMW АВТОИДЕЯ;1937;105368229
 Boxberry;1973;9456730119
 BSI Lifestyle;1987;1386912786
 ZOO43;1950;6836170877
ИП Пенкрат П.В;1987;577048910
 DHL Express;1945;9830374325
 Inventive Retail Group, re:Store;1965;6549583424
ООО АЭРО-ИН;1959;9004926105
ООО ГазАртСтрой;1971;5694933057
ИП Образовательная платформа LABA;1944;9115233097
 Белвингрупп;1983;4835694988
ООО ТД Первый электротехнический;1948;8779831796
ООО Кафе Луч;1986;7513953290
 Леруа Мерлен. Гипермаркеты;1966;5982735039
ООО МЕБЕЛЬ ДЛЯ ВАС;1940;539942749
ООО Евроспецкомплект;1978;5649543989
ООО Медэкс-Могилев;1934;4133372334
ООО Мелитэк;1970;4711905358
ООО Замок-Сервис;1953;9452060698
ООО Оптимальный Путь;1954;9212638814
 ВОЛЬФ, ЧОП;1965;2999591098
ПАО МегаФон, IT;1952;7378057313
 Oxagile;1984;5501369086
 Победа;1980;5108390765
ООО КОРИС-ГУАРД;1971;885045095
 Группа Компаний Стандарт Качества;1967;468861428
 Верность качеству, Кондитерская Фабрика;1975;2398195625
 Prosperity;1987;9744784005
 Банк ВТБ (ПАО);1987;1373969065
ИП Костенко Наталья Владимировна;1978;7749034362
ООО ЛК Сименс Финанс;1961;3985611336
ООО Регстаэр;1963;8687992592
 ДЛТ. ЦУМ – Санкт-Петербург;1940;4903795517
 Квадратный метр;1934;4499425431
 «Пицца Лисицца»;1938;6770662306
ООО Керри;1950;4810468725
 Легис безопасность;1951;5794083424
ООО МедЗнания;1939;1877139879
ООО Транссервис;1932;1629544573
ООО АвтоГруппБай;1955;9080282930
 SoftSwiss;1982;7293311086
ООО Техно Лит;1933;9401920245
ООО САМСОН, ГРУППА КОМПАНИЙ;1966;9111925666
 HeidelbergCement Group;1944;37296393
Иностр. п. Представительство АО «Sandoz Pharmaceuticals d.d.» (Словения) в Республике Беларусь;1979;5838748134
ИП Самарина Татьяна Владимировна;1953;6288896532
ОАО БПС-Сбербанк;1955;7522661153
ПАО МегаФон, Офис;1970;4061361372
ООО ТД Рублевский;1963;5628486896
ООО Компания Интерлогистика;1935;1847991090
 ЭЛКОД, группа компаний;1975;182620414
ООО МКтрейд;1972;3984007018
 Winner Group Ukraine;1971;5068457643
 Hoff;1956;8078034683
ООО ВЕСТ ТРЕЙД;1990;166633659
 Частное предприятие Классик-транс;1986;2117617111
ООО ЮниТех;1940;7459003859
ТОО QUBIQ GROUP;1969;4431644177
ОАО ЖИЛСТРОЙ;1971;4242752008
 Fleet Energy Inc.;1960;5692246171
ООО Курьерист;1943;6061465919
ООО Фабрика Стиль;1940;7571161418
ООО Финстек Бел;1975;4946282575
ТОО QAZ SVET;1938;6079172210
ООО OOO Xususiy Bandlik Agentligi DMC;1989;7589738244
 Курьер Сервис Экспресс;1963;8534717107
АО Uzauto Motors Powertrain;1965;9873978742
ООО Доставка Плюс;1988;5131179868
 Prospects Group;1981;8006471562
ТОО TDS Media;1974;1689276807
ООО Сила Земли;1935;6371215948
ТОО ADM Machinery & Service;1976;4294962110
ТОО Techvirt;1980;767807263
 Ароматный мир, винные супермаркеты;1982;7675762594
ТОО Евростиль Казахстан (Экспресс оплата, ТОО);1964;8441872081
ООО Финансово-правовой альянс;1971;395467309
ООО МосОптТорг;1946;8360927598
 Мединат ИТ;1986;5491810007
 «Procter & Gamble», Молодой специалист;1967;1988164971
 Теремъ;1940;8447167695
 ОБИ Центральный офис;1984;9805574382
ОАО МИНСК КРИСТАЛЛ - управляющая компания холдинга МИНСК КРИСТАЛЛ ГРУПП;1989;5433922319
 ПИЦЦА ТЕМПО;1962;5791980777
 АШАН Ритейл Россия;1972;5994256324
 Ozon Производство;1952;3457258894
Российский банк;1981;4963534114
ИП Принткорп;1965;435865660
ТОО Acasc study in china;1942;8854624445
 adidas, Фирменные магазины;1941;6093787798
 Cappasity Inc.;1964;6779234443
ООО МенюБай;1980;9717632705
ООО Гигант-Двери;1959;524760845
ООО КА Семья успеха;1960;1963442496
 LikeMe Studio;1953;346339941
 Organic life;1952;1972278744
 ЦУМ, Дисконт;1950;5409608542
 Алютех;1986;5781801506
ООО Атехком;1937;4091200986
 Билайн;1947;2352382662
ТОО Unimed Services;1934;841728276
 МАГНИТ, Розничная сеть;1971;5761078333
 Л'Этуаль;1958;3334215022
ООО ЮрСпектр;1963;6599345704
ООО ВДМ;1939;5580356614
 Staff-hr;1948;9332062545
ПАО Ростелеком;1947;9349974302
 Аплинк Нетворкс;1931;153287154
ИП Желманова Инна Александровна;1968;2360749947
 Кафе-столовая Марков Двор;1974;4768179361
 Consortium Psychiatricum;1958;8455336102
 Сеть магазинов цифровой и бытовой техники DNS;1930;9194793248
 Maersk Group;1989;8340794980
ЗАО ПремияАгро;1932;9773332454
ООО Kolberg Group;1933;6286761865
 CATAPULTO.RU;1980;4920248315
 Сбер для экспертов;1934;5374129308
ООО Агроакадемия;1937;3081612121
ООО Доставико;1986;535883941
 СУШИ ВЕСЛА;1969;6166876854
ООО МКК Русинтерфинанс;1957;1486745867
ТОО Qazaq National Product;1934;1912576584
 ATOM LINE (ИП Ромов Владимир Анатольевич);1963;5997623533
+;1947;9007289035
ООО Платки и шали;1981;9982825103
ОАО БЕЛГИПС;1985;6513199333
 Сеть винных супермаркетов «Ароматный мир»;1968;2764767926
ИП Манюков Роман Сергеевич;1988;8578289771
ООО Онбит;1984;5154949573
ООО Илэнг;1938;5758545761
ООО Медикана Нн;1989;1231441975
 КУБОМЕТР;1934;3887201678
 SPA-салон МОНАРХИЯ;1957;3418856453
 BelVG;1981;3799843542
ТОО «Вагоностроительный завод «Т?лпар»;1955;2310374479
 Лодэ;1981;9474520627
 Частное предприятие БЕЛЮНИПРОМ;1955;687023494
 Урбанист;1939;2706593626
ООО ВсеИнструменты.ру;1935;9762611177
ООО Сфера Комфорта;1986;779775115
 VDS;1941;3282201423
ООО GANGA HEALTHCARE;1971;569380223
ТОО Торговый дом «Ордабасы – кус»;1958;7467622884
ООО Автоматизация и Консалтинг;1944;7081920963
