1;Водитель;УП КораллСтрой;Минск;1200;3
2;Специалист по прямым продажам; Сбер. Начало карьеры;Москва;84000;8
3;Хостес;ООО Омега;Москва;150000;3
4;Кладовщик-комплектовщик-работник склада;ООО Lerteco;Москва;60000;4
5;Упаковщик - сортировщик брендовой одежды (Польша); РЕН-сервис;Минск;896;19
6;Логист / специалист по логистике;ОАО Пивоваренная компания Аливария,часть Carlsberg Group;Минск;1100;9
7;Специалист по работе с клиентами;ЗАО E-dostavka.by;Минск;930;11
8;Менеджер по продажам (без поиска клиентов); Компания Кухонный завод;Москва;180000;7
9;Администратор-охранник; ИНКОМ-НЕДВИЖИМОСТЬ;Москва;100000;11
10;Координатор учебного центра / офис-менеджер;Нек. орг. Португальский культурный центр;Москва;100000;14
11;Продавец-консультант (цифровая и мелкая бытовая техника); Алекс;Москва;115000;19
12;Официант; ЦУМ, Офис;Москва;80000;19
13;Личный помощник руководителя; Зенит-Интер, МАНФС;Москва;100000;3
14;Администратор на Мероприятия;ИП Бражуненко Алексей Владимирович;Москва;60000;12
15;Оператор колл-центра / Менеджер интернет магазина (удаленно); Codika;Москва;30000;10
16;Секретарь на ресепшен;ООО Kyocera Document Solutions Rus;Москва;40000;16
17;АДМИНИСТРАТОР / Менеджер по продажам и работе с клиентами в косметологию (салон красоты);ТОО САЛОН КРАСОТЫ AMELI;Караганда;120000;11
18;Сварщик;ООО Балтийская Транспортная Линия - Сервис;Санкт-Петербург;220000;3
19;Администратор (Оператор) СРОЧНО;ООО Опт-Сити;Москва;40000;12
20;Оператор производственной линии; Завод Тойота в Санкт-Петербурге;Санкт-Петербург;50000;20
21;Юрист в компанию;ООО Азон;Москва;100000;4
22;Начальник производственного отдела;АО Ачинский НПЗ;Ачинск;130000;4
23;Сборщик заказов; Пятёрочка. Склад, логистика;Новосибирск;100000;5
24;Менеджер в сеть ресторанов;ООО MIKA TRADE;Ташкент;3000000;14
25;Дизайнер иллюстратор на YouTube проект; Wylsacom Media;Москва;80000;6
26;Директор; Алекс Ко;Минск;2500;12
